SAFE MEBP Dashboard,,,,,,,,,,
,Block,Task_ID,Created_By,Responsible,Description,Raised_On,Status,Completed_Date,Type,Resolution_Notes
533,D1 BLOCK,7225,Sudeep,Jegathesh Johnson,Flow switch & tamper switch rectification work,2022-02-25,OFFER SHARED AWAITING PO,,FIRE ALARM,
534,D1 BLOCK,7227,Sudeep,Praveen M P,"Pump room, Terrace & ground floor Defective pressure gauges has to be replace",2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
535,D1 BLOCK,7229,Sudeep,Praveen M P,Fire system flow meter not working,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
536,D1 BLOCK,7231,Sudeep,Praveen M P,Pump room All pumps gland leakage water passing hose need to be replace,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
537,D1 BLOCK,7233,Sudeep,Jegathesh Johnson,FA panel showing trouble & Alarm has to be rectify.,2022-02-25,OPEN,,FIRE ALARM,Inside Floors- Renovation in progress- will be scheudled post that
538,D1 BLOCK,7235,Sudeep,Jegathesh Johnson,FAS - Talk Back System not working,2022-02-25,OPEN,,PA TALK BACK,"The existing PA system has all the staircase speakers connected in a single pair of twisted cable. Which we have recommended for upgrading it with 2 listed options. 1. Integrated Fire alarm amplifier panel with Telephone and Mic. (Pilot version to be implemented in H2 Block) 2. Upgrade all the speakers (with call button), cables(2*1.5sq.mm armoured cable) and panel(40Zone Talk-back panel with call button). (Pilot version implemented in E2 and E2 MLCP)"
539,D1 BLOCK,7235,Sudeep,Jegathesh Johnson,FAS - Talk Back System not working,2022-02-25,OPEN,,PA TALK BACK,Recommended for System Upgradation
540,D1 BLOCK,7237,Sudeep,Prasanth M,D1 North East PTZ Camera has to be install,2022-02-25,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement. Awaiting PO for replacing the switches, media converter and power adaptors"
541,D1 BLOCK,7239,Sudeep,Prasanth M,D1 basement DG Room Entry Fixed Camera not working,2022-02-25,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement. Awaiting PO for replacing the switches, media converter and power adaptors"
542,D1 BLOCK,7241,Sudeep,Prasanth M,D1 ground floor south West PTZ Camera not working,2022-02-25,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement. Awaiting PO for replacing the switches, media converter and power adaptors"
543,D1 BLOCK,7243,Sudeep,Prasanth M,D1 basement DG Room exit fixed Camera not working,2022-02-25,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement. Awaiting PO for replacing the switches, media converter and power adaptors"
544,D1 BLOCK,7245,Sudeep,Prasanth M,D1 basement Electrical Room Fixed Camera not working,2022-02-25,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement. Awaiting PO for replacing the switches, media converter and power adaptors"
545,D1 BLOCK,7247,Sudeep,Prasanth M,D1 ground floor Pump Room Fixed Camera not working,2022-02-25,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement. Awaiting PO for replacing the switches, media converter and power adaptors"
546,D1 BLOCK,7249,Sudeep,Prasanth M,D1 ground floor fire pump room Access Control Door not working,2022-02-25,OPEN,,ACCESS CONTROL,
547,D1 BLOCK,7251,Sudeep,Prasanth M,Terrace service lift lobby Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
548,D1 BLOCK,7253,Sudeep,Prasanth M,Terrace staircase #1 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
549,D1 BLOCK,7255,Sudeep,Prasanth M,Terrace staircase #2 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
550,D1 BLOCK,7257,Sudeep,Prasanth M,Terrace staircase #3 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
551,D1 BLOCK,7259,Sudeep,Prasanth M,Terrace staircase #4 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
552,D2 BLOCK,7261,Sudeep,Praveen M P,Pump room Test line valve got damage (water passing),2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
553,D2 BLOCK,7263,Sudeep,Praveen M P,Terrace D2 booster pump base replacement work,2022-02-25,COMPLETED,,FIRE FIGHTING,Report shared
554,D2 BLOCK,7265,Sudeep,Praveen M P,Fire hydrant point Quarterly checking & servicing not done,2022-02-25,F/O SUPPORT REQUIRED,,FIRE FIGHTING,
555,D2 BLOCK,7267,Sudeep,Praveen M P,Basement Fire shaft inside reel hose drum line rusted.,2022-02-25,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
556,D2 BLOCK,7269,Sudeep,Praveen M P,Basement fire shaft inside reel hose drum line rusted.,2022-02-25,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
557,D2 BLOCK,7271,Sudeep,Praveen M P,All pumps gland leakage water passing hose to be replace.,2022-02-25,COMPLETED,,FIRE FIGHTING,Report shared
558,D2 BLOCK,7273,Sudeep,Jegathesh Johnson,LMR smoke Detector Hooter & MCP not working .,2022-02-25,OPEN,,FIRE ALARM,
559,D2 BLOCK,7275,Sudeep,Jegathesh Johnson,FAS alarm and trouble to be need to be rectify.,2022-02-25,OPEN,,FIRE ALARM,Inside Floors- Renovation in progress- will be scheudled post that
560,D2 BLOCK,7277,Sudeep,Praveen M P,Pump room Hydrant pump cooling hose damage,2022-02-25,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
561,D2 BLOCK,7279,Sudeep,Jegathesh Johnson,FAS - Talk Back System not working,2022-02-25,OPEN,,PA TALK BACK,"The existing PA system has all the staircase speakers connected in a single pair of twisted cable. Which we have recommended for upgrading it with 2 listed options. 1. Integrated Fire alarm amplifier panel with Telephone and Mic. (Pilot version to be implemented in H2 Block) 2. Upgrade all the speakers (with call button), cables(2*1.5sq.mm armoured cable) and panel(40Zone Talk-back panel with call button). (Pilot version implemented in E2 and E2 MLCP)"
562,D2 BLOCK,7279,Sudeep,Jegathesh Johnson,FAS - Talk Back System not working,2022-02-25,OPEN,,PA TALK BACK,Recommended for System Upgradation
563,D2 BLOCK,7281,Sudeep,Prasanth M,Terrace staircase #1 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
564,D2 BLOCK,7283,Sudeep,Prasanth M,Terrace staircase #2 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
565,D2 BLOCK,7285,Sudeep,Prasanth M,Terrace staircase #3 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
566,D2 BLOCK,7287,Sudeep,Prasanth M,Terrace staircase #4 Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
567,D4 BLOCK,7289,Sudeep,Prasanth M,Terrace service lift lobby Access Control not working,2022-02-25,OPEN,,ACCESS CONTROL,
568,L5 BLOCK,7291,Dinakar Raj D,Jegathesh Johnson,Staircase no 1 4th floor 8th floor & 9th floor MCP not working,2022-02-25,F/O SUPPORT REQUIRED,,FIRE ALARM,FO support- required material from stock.
569,L5 BLOCK,7293,Dinakar Raj D,Jegathesh Johnson,Staircase no 2 4th 7th 8th & 9th floor MCP not working,2022-02-25,F/O SUPPORT REQUIRED,,FIRE ALARM,FO support- required material from stock.
570,L5 BLOCK,7295,Dinakar Raj D,Jegathesh Johnson,Staircase no 3 8th & 9th floor MCP not working,2022-02-25,F/O SUPPORT REQUIRED,,FIRE ALARM,FO support- required material from stock.
571,L6 BLOCK,7297,Dinakar Raj D,Jegathesh Johnson,System trouble to be rectify,2022-02-25,OPEN,,FIRE ALARM,"Due to the CPU issue system has not operational, we have already inform to the F/O ."
572,D3 BLOCK,6719,Sudeep,Jegathesh Johnson,"Ground floor & Basement Hooter, MCP Not working.",2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,Offer has been shared for floor affected areas and damaged devices. Waiting for PO.
573,D3 BLOCK,6721,Sudeep,Praveen M P,D3 basement hoses reel drum Handel boll valve required.,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,"Offer shared, waiting for po"
574,L5 BLOCK,6723,Dinakar Raj D,Praveen M P,Diesel engine pump Diesel outlet hose pipe leakage (pump room),2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,"Meterial required, offer to be shared"
575,D3 BLOCK,6725,Sudeep,Praveen M P,Fire pump room test line valve got damage (water passing),2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,"Material Required, Offer has been shared. Awaiting PO."
576,D3 BLOCK,6727,Sudeep,Jegathesh Johnson,FAS - Talk back system not working.,2022-02-24,OPEN,,PA TALK BACK,Recommended for System Upgradation
577,H2 BLOCK,6729,Ranjith m,Praveen M P,Fire pump room A/W test line water flow meter not working,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,flow meter need to be replace?
578,H2 BLOCK,6731,Ranjith m,Jegathesh Johnson,Ground floor FA/PA panel 74 troubles need to be clear,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,"Device has been found faulty condition ,offer has been shared,need to be change the devices"
579,H2 BLOCK,6733,Ranjith m,Praveen M P,UB hydrant pump gland plate damage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,material?required
580,G3 BLOCK,6735,Balakrishna,Jegathesh Johnson,Stair case #04 hooter not working,2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,
581,G3 BLOCK,6737,Balakrishna,Jegathesh Johnson,Stair case #01 speaker not working,2022-02-24,OFFER SHARED AWAITING PO,,PA TALK BACK,
582,H2 BLOCK,6739,Ranjith m,Praveen M P,UB sprinkler pump football leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Offer chaired waiting for po
583,G3 BLOCK,6741,Balakrishna,Jegathesh Johnson,"Stair case #02, 7th, 8th & 10th floors speaker not working.",2022-02-24,OFFER SHARED AWAITING PO,,PA TALK BACK,
584,D3 BLOCK,6743,Sudeep,Jegathesh Johnson,"Ground floor & Basement Hooter, MCP Not working.",2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,Ground floor hooter and PA issue has been resolved. Offer has been shared for replacing the floor affected devices and cables in basement. Awaiting for the PO
585,G3 BLOCK,6745,Balakrishna,Jegathesh Johnson,"Stair case #03, 4th & 5th floors speaker not working.",2022-02-24,OFFER SHARED AWAITING PO,,PA TALK BACK,
586,G3 BLOCK,6747,Balakrishna,Jegathesh Johnson,FA system troubles need to be rectified.,2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,
587,D3 BLOCK,6749,Sudeep,Praveen M P,Basement FHS#2 & 3 fire shaft door glass damage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,SHEDULE SHORTLY
588,G3 BLOCK,6751,Balakrishna,Praveen M P,Jockey pump water seal leakage need to rectify,2022-02-24,OPEN,,FIRE FIGHTING,Pump need to send to service
589,D3 BLOCK,6753,Sudeep,Praveen M P,Ground floor FHS#3 & 4 fire shaft door glass damage,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
590,G3 BLOCK,6755,Balakrishna,Praveen M P,Fire dg 1 Diesel tank hose pipe leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
591,G3 BLOCK,6757,Balakrishna,Jegathesh Johnson,FA system recommission work pending A/B wing,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,Required POP cutting at some places.
592,G3 BLOCK,6759,Balakrishna,Praveen M P,Clarke diesel engine Charger not getting charge,2022-02-24,COMPLETED,,FIRE FIGHTING,"Temporarily Completed, The system is normal"
593,G3 BLOCK,6761,Balakrishna,Jegathesh Johnson,A wing & B wing PA amplifier not working.,2022-02-24,OPEN,,PA TALK BACK,
594,G3 BLOCK,6763,Balakrishna,Jegathesh Johnson,A wing & B wing PA console is not working.,2022-02-24,COMPLETED,2022-02-24,PA TALK BACK,"A- wing PA panel has been serviced, installed and tested. System working normally"
595,H2 BLOCK,6765,Ranjith m,Praveen M P,UB jockey pump football leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Sump need to be drine
596,H2 BLOCK,6767,Ranjith m,Praveen M P,UB B/WING Jockey pump football leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Sump need to drine
597,H2 BLOCK,6769,Ranjith m,Praveen M P,UB B/Wing hydrant pump gland plate damage,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,Waiting for meterial
598,H2 BLOCK,6771,Ranjith m,Praveen M P,UB B/Wing test line water flow meter not working,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,flowmeter need service
599,H2 BLOCK,6773,Ranjith m,Praveen M P,LB FHC-05 shaft door glass and beading damage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,"beading required ,offer shaired"
600,G2 BLOCK,6775,Satish,Praveen M P,Hydrant pump gland leakage,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,gland rop replaced
601,G2 BLOCK,6777,Satish,Praveen M P,Diesel Engine gland leakage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
602,H2 BLOCK,6779,Ranjith m,Praveen M P,LB FHC-05 shaft door glass and beading damage,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
603,E1 BLOCK,6781,Ananda M,Praveen M P,Jockey pump suction line pipe water passing need to be rectify,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,gate valve damaged
604,E1 BLOCK,6783,Ananda M,Praveen M P,All sluice valve need to be servicing,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
605,E1 BLOCK,6785,Ananda M,Jegathesh Johnson,2 way Talk back system is not working,2022-02-24,COMPLETED,,PA TALK BACK,Slight noise observed
606,E1 BLOCK,6787,Ananda M,Praveen M P,Sprinkler flow switch need to check,2022-02-24,OPEN,,SPRINKLER SYSTEM,
607,E1 BLOCK,6789,Ananda M,Praveen M P,Booster pump rotating shaft need to be replace,2022-02-24,OPEN,,FIRE FIGHTING,
608,E1 BLOCK,6791,Ananda M,Praveen M P,1st floor Sprinkler flexible hose need to align & replace,2022-02-24,OFFER SHARED AWAITING PO,,SPRINKLER SYSTEM,Waiting for po
609,E1 BLOCK,6793,Ananda M,Jegathesh Johnson,1st floor Smoke detector is not working,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,Damaged by vendors during project work. Offer has been shared for rectification and additional device installation.  Awaiting PO.
610,E1 BLOCK,6795,Ananda M,Jegathesh Johnson,Heat detector need to be install,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,Not yet complete to the demolation activity
611,E1 BLOCK,6797,Ananda M,Jegathesh Johnson,Lift integrated need to be done with FAS panel,2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,Offer shared
612,E1 BLOCK,6799,Ananda M,Prasanth M,Doors Access is not working,2022-02-24,OPEN,,ACCESS CONTROL,
613,E1 BLOCK,6801,Ananda M,Praveen M P,FBI need to be install,2022-02-24,OPEN,,HYDRANT SYSTEM,
614,E1 BLOCK,6803,Ananda M,Praveen M P,2 nos sluice valve damaged,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Waiting for po
615,E1 BLOCK,6805,Ananda M,Praveen M P,Pressure switch & Flow meter calibration need to be done,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
616,E1 BLOCK,6807,Ananda M,Praveen M P,Fire engine B check due,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
617,E2 BLOCK,6809,Ananda M,Praveen M P,"Pressure gauge, pressure switch & Flow meter calibration need to be done",2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
618,E2 BLOCK,6811,Ananda M,Praveen M P,Booster pump Auto cut off need to be rectify,2022-02-24,F/O SUPPORT REQUIRED,,FIRE FIGHTING,Pump efficiency down need to service
619,E2 BLOCK,6813,Ananda M,Praveen M P,Booster pump gland leakage need to be rectify,2022-02-24,COMPLETED,,FIRE FIGHTING,
620,E2 BLOCK,6815,Ananda M,Jegathesh Johnson,FA panel showing 228 trouble has to be rectify.,2022-02-24,OPEN,,FIRE ALARM,During renovation- loop damaged
621,E2 BLOCK,6817,Ananda M,Praveen M P,YH #2 Spindle rod need to be replace,2022-02-24,OPEN,,HYDRANT SYSTEM,
622,E2 BLOCK,6819,Ananda M,Jegathesh Johnson,Lift integrated need to be done with FAS panel,2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,Offer shared
623,E2 BLOCK,6821,Ananda M,Prasanth M,Doors Access is not working,2022-02-24,OPEN,,ACCESS CONTROL,
624,E2 MLCP,6823,Ananda.M,Praveen M P,Sprinkler flow switch need to check,2022-02-24,F/O SUPPORT REQUIRED,,SPRINKLER SYSTEM,
625,E2 BLOCK,6825,Ananda M,Jegathesh Johnson,Smoke detectors need to be cleaning,2022-02-24,COMPLETED,2022-03-30,FIRE ALARM,All common area smoke detector cleaning and re-fixing of hanging device rectification has been done
626,E2 BLOCK,6827,Ananda M,Praveen M P,Fire DG battery need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,offer shaired
627,E2 BLOCK,6829,Ananda M,Praveen M P,1 no ITC valve need to be replace,2022-02-24,OPEN,,SPRINKLER SYSTEM,
628,E2 BLOCK,6831,Ananda M,Praveen M P,Jockey pump Foot valve leakage need to be rectify,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Waiting for po
629,E2 BLOCK,6833,Ananda M,Praveen M P,Fire engine B check due,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
630,E2 MLCP,6835,Ananda M,Praveen M P,5 No's Sprinkler rusted bulb need to be replace,2022-02-24,OPEN,,SPRINKLER SYSTEM,
631,E2 MLCP,6837,Ananda M,Praveen M P,Jockey pump Foot valve leakage need to be rectify,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
632,E2 MLCP,6839,Ananda M,Praveen M P,Jockey pump Foot valve leakage need to be rectify,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
633,E2 MLCP,6841,Ananda M,Praveen M P,Booster pump Auto cut off need to be rectify,2022-02-24,F/O SUPPORT REQUIRED,,FIRE FIGHTING,Issue observed to be due to reduced pump efficiency. Offer has been shared for servicing the pump.
634,E2 MLCP,6843,Ananda M,Praveen M P,Booster pump gland leakage need to be rectify,2022-02-24,COMPLETED,2022-02-26,FIRE FIGHTING,Issue resolved
635,E2 MLCP,6845,Ananda M,Jegathesh Johnson,Lift integrated need to be done with FAS panel,2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,Offer shared
636,E2 MLCP,6847,Ananda M,Praveen M P,Sprinkler flow switch need to check,2022-02-24,OPEN,,SPRINKLER SYSTEM,
637,G3 BLOCK,6849,Balakrishna,Praveen M P,Sprinkler flow switch need to be check,2022-02-24,OPEN,,SPRINKLER SYSTEM,
638,G3 BLOCK,6851,Balakrishna,Praveen M P,Fire DG B-check need to be done,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
639,G3 BLOCK,6853,Balakrishna,Praveen M P,New fire extinguishers need to be install,2022-02-24,COMPLETED,,FIRE EXTINGUISHER,
640,G3 BLOCK,6855,Balakrishna,Praveen M P,2 no's Hose reel drum leakage at LB,2022-02-24,F/O SUPPORT REQUIRED,,FIRE FIGHTING,1 nos ball valve needto replace
641,D3 BLOCK,6857,Sudeep,Praveen M P,Ground floor fire sprinkler ICV Pressure gauge not working,2022-02-24,OPEN,,SPRINKLER SYSTEM,
642,G3 BLOCK,6859,Balakrishna,Praveen M P,Water type FE need replace to ABC type fire extinguisher,2022-02-24,COMPLETED,,FIRE EXTINGUISHER,
643,D3 BLOCK,6861,Sudeep,Prasanth M,D3 Electrical Room Fixed Camera Failed,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement.  Awaiting PO for replacing the switches, media converter and power adaptors."
644,D3 BLOCK,6863,Sudeep,Prasanth M,D3 Pump Room Fixed Camera Failed,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement.  Awaiting PO for replacing the switches, media converter and power adaptors."
645,G3 BLOCK,6865,Balakrishna,Praveen M P,Fire extinguishers refilling & HP test need to be done,2022-02-24,COMPLETED,,FIRE EXTINGUISHER,
646,D3 BLOCK,6867,Sudeep,Prasanth M,Ground floor L T ROOM Access Control Door not working,2022-02-24,OPEN,,ACCESS CONTROL,
647,G3 BLOCK,6869,Balakrishna,Praveen M P,Sprinkler ICV pipeline water leakage need to rectify,2022-02-24,COMPLETED,,SPRINKLER SYSTEM,rectifIed
648,G3 BLOCK,6871,Balakrishna,Praveen M P,Pressure gauge modification need to be done,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
649,D3 BLOCK,6873,Sudeep,Prasanth M,Ground floor fire pump room Access Control Door not working,2022-02-24,OPEN,,ACCESS CONTROL,
650,G3 BLOCK,6875,Balakrishna,Praveen M P,"Pressure gauge, pressure switch & flow meter calibration need to be done",2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
651,G3 BLOCK,6877,Balakrishna,Praveen M P,Air release valve need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,air relesing valve required
652,D4 BLOCK,6879,Sudeep,Praveen M P,Basement Hose reel drum Handel boll valve need to be replace.,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
653,G3 BLOCK,6881,Balakrishna,Praveen M P,2 no's Hydrant point need to be,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,Offer need to share
654,D4 BLOCK,6883,Sudeep,Praveen M P,All locations Fire hydrant point Quarterly checking & servicing not don,2022-02-24,COMPLETED,,HYDRANT SYSTEM,
655,G3 BLOCK,6885,Balakrishna,Jegathesh Johnson,Heat detector need to be install @ HSD yard,2022-02-24,OPEN,,FIRE ALARM,"construction work progress, once it ill be finished we have started to the activity, already informed to the management team and f/o"
656,D4 BLOCK,6887,Sudeep,Jegathesh Johnson,FAS troubles has to be clear & Hooter not working,2022-02-24,OPEN,,FIRE ALARM,
657,G4 BLOCK,6889,Balakrishna,Jegathesh Johnson,"Stair case #1, 10th & 4th floors speaker not working.",2022-02-24,OFFER SHARED AWAITING PO,,PA TALK BACK,
658,D4 BLOCK,6891,Sudeep,Praveen M P,Pump room Diesel engine level tube leakage in day tank,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
659,D4 BLOCK,6893,Sudeep,Praveen M P,Terrace Ring main 1no butterfly valve issue need to be replace,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
660,D4 BLOCK,6895,Sudeep,Prasanth M,D4 Terrace Entry Fixed Camera not working,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement.  Awaiting PO for replacing the switches, media converter and power adaptors."
661,D4 BLOCK,6897,Sudeep,Prasanth M,D4 Electrical Room Fixed Camera not working,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement.  Awaiting PO for replacing the switches, media converter and power adaptors."
662,D4 BLOCK,6899,Sudeep,Prasanth M,D4 MLCP ground floor DG Room Fixed Camera not working,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement.  Awaiting PO for replacing the switches, media converter and power adaptors."
663,D4 BLOCK,6901,Sudeep,Prasanth M,D4 Terrace North East PTZ Camera not working,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement.  Awaiting PO for replacing the switches, media converter and power adaptors."
664,D4 BLOCK,6903,Sudeep,Jegathesh Johnson,Ground Floor PA - Talk Back System not working,2022-02-24,OPEN,,PA TALK BACK,Recommended for System Upgradation
665,G4 BLOCK,6905,Balakrishna,Jegathesh Johnson,"Stair case #1, 5th floor MCP not working",2022-02-24,OFFER SHARED AWAITING PO,,FIRE ALARM,
666,D4 BLOCK,6907,Sudeep,Praveen M P,FHS #3 basement fire shaft door glass damage,2022-02-24,OPEN,,FIRE FIGHTING,
667,G4 BLOCK,6909,Balakrishna,Praveen M P,Sprinkler flow switch need to be check,2022-02-24,OPEN,,SPRINKLER SYSTEM,
668,G4 BLOCK,6911,Balakrishna,Praveen M P,Fire DG B-check need to be done,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
669,D4 MLCP,6913,Sudeep,Jegathesh Johnson,Ground floor FAS panel not working,2022-02-24,OPEN,,FIRE ALARM,"System failure ,not in operational,need to be change to the new panel"
670,G4 BLOCK,6915,Balakrishna,Praveen M P,5th to 10th floors Sprinkler line pressure testing need to be done,2022-02-24,F/O SUPPORT REQUIRED,,SPRINKLER SYSTEM,"Not in our scope, offer need to be share"
671,D4 MLCP,6917,Sudeep,Praveen M P,Pump room Hydrant pump Suction line got rusted & water leakage.,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,"Offer shared, waiting for po"
672,G4 BLOCK,6919,Balakrishna,Jegathesh Johnson,5th to 10th floors Smoke detectors looping need to be rectify,2022-02-24,F/O SUPPORT REQUIRED,,FIRE ALARM,Damaged by CTS client during the demolition activity. Client need to get the loop restored.  Offer has been shared for restoring. Awaiting PO.
673,D4 MLCP,6921,Sudeep,Praveen M P,Pump room Test line got rusted & water leakage.,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,"Offer shared, waiting for po"
674,G4 BLOCK,6923,Balakrishna,Praveen M P,New fire extinguishers need to be supply & install,2022-02-24,OPEN,,FIRE EXTINGUISHER,
675,G4 BLOCK,6925,Balakrishna,Praveen M P,Hose reel drum leakage need to be rectify,2022-02-24,OFFER SHARED AWAITING PO,,HYDRANT SYSTEM,
676,K BLOCK,6927,Nandakumar CR,Praveen M P,Fire Diesel engine pump ''B''-check need to be done,2022-02-24,OPEN,,FIRE FIGHTING,
677,G4 BLOCK,6929,Balakrishna,Praveen M P,Fire extinguishers refilling & HP test need to be done,2022-02-24,OFFER SHARED AWAITING PO,,FIRE EXTINGUISHER,flow meter need to be replace?
678,D4 MLCP,6931,Sudeep,Praveen M P,Terrace booster pump pressure gauge not available,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
679,D4 MLCP,6933,Sudeep,Praveen M P,Ground floor YH #2 underground water leakage.,2022-02-24,COMPLETED,,HYDRANT SYSTEM,
680,D4 MLCP,6935,Sudeep,Praveen M P,"Ground floor,5th 11th floor fire shaft door glass damage",2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,
681,K BLOCK,6937,Nandakumar CR,Praveen M P,Fire Diesel engine pump Gland pusher got to damaged need to be done.,2022-02-24,OPEN,,FIRE FIGHTING,Building Renovation- Services not allowed - Permission not given
682,D4 MLCP,6939,Sudeep,Praveen M P,Fire hydrant shaft Keys not available,2022-02-24,OFFER SHARED AWAITING PO,,FIRE FIGHTING,Waiting for po
683,D4 MLCP,6941,Sudeep,Prasanth M,D4 MLCP ground floor fire Pump Room Fixed Camera not working,2022-02-24,OFFER SHARED AWAITING PO,,CCTV,"Switches, media converter in Basement rack has been damaged during flood. Offer has been shared for replacement.  Awaiting PO for replacing the switches, media converter and power adaptors."
